__label__mpos	Hier böte sich als Lösung an, die aus Westen kommenden Radfahrer zunächst weiter auf der Straße mit einem Schutzstreifen zu führen und sie erst an der Einmündung Nordstraße auf den gemeinsamen Geh- und Radweg zu führen.	6481
__label__premise	Die Anzahl der täglich überquerenden Personen wie Mitarbeiter der Post, Postbank, Telekom, Schüler des größten städtischen Gymnasiums Bonn, Angestellten der anderen Dienstleistungsbetriebe wie Johanniterkrankenhaus, Ärztehaus, Kindergärten, UN und der Bewohner der Gronau ist in den Höchstzeiten unverantwortlich.	7906
__label__premise	Hier ist ein belibter Radwanderweg ausgeschildert.	16837
__label__mpos	Auf der Rosenstr breitere Fuß-und Fahrradspuren markieren	14246
__label__mpos __label__premise	So stark ist der Autoverkehr auf dem Stück der Limpericher Straße nicht und vielleicht könnte das Stück auch zu einer Tempo 30-Zone erweitert werden.	4808
__label__mpos	1. Sollte überall breite Radwege geben!	10540
__label__mpos	Fahrradampeln für früheres Losfahren	11568
__label__mpos	Rechtsabbiegen in die Lamdmannstraße erlauben	12481
__label__premise	Unnötigerweiße ist die nächste Ampel (für PKW Abbieger) von der Aachener auf die Innere Richtung Norden dann schon für Fahrräder rot.	12611
__label__mpos	Getrennte Streckenüberführung zu motorischen Verkehr	11128
__label__premise	Dadurch kommen sich Radfahrer und Fußgänger ständig ins Gehege v.a. wenn gerade eine vollbesetzte Bahn angekommen ist.	9703
__label__premise	Bepflanzung im Kreuzungsbereich	4689
__label__premise	Dort ist es sehr eng und mit 3 - 4 Radfahrern überfüllt, so dass man als Radfahrer zum Teil auf der Straße oder dem Bahnübergang steht.	9949
__label__premise	Offenbar gilt hier das Recht des Stärkeren, d.h. rücksichtsloseren Fahrradrasers - solange er nicht verunfallt!	17368
__label__mpos	Lessingstraße link in Venloer abbiegen dürfen	13351
__label__mpos	Stiftsstraße in beide Richtungen für Radfahrer freigeben	11446
__label__mpos	Soziale Einrichtungen für parkende LKWs am Wochenende.	14102
__label__premise	Dass man da als Radfahrer erst den Berg hochfahren soll, um dann wieder auf der gleichen Höhe rauszukommen, kann ja wohl in der Fahrradhauptstadt nicht Ernst gemeint sein!	610
__label__mpos	Bitte dringend einen Radweg bauen.	17637
__label__non-arg	Aber wer sich nicht an die Regeln hält, kann auch nicht erwarten, dass er als vollwertiger Teilnehmer im Straßenverkehr gesehen wird.	685
__label__mpos	-U76: Zwei hochflurige Seitenbahnsteige dort, wo sie aktuell ebenfalls wenden.	15520
__label__non-arg	rechts Abbieger	6554
__label__premise	Die Straße wird von vielen Radfahrern, vor allem auch Kindern, benutzt.	5147
__label__mpos	Umlaufsperren entfernen	4656
__label__mpos	Linksabbiegen optimieren	12462
__label__mpos	Auto-Parkplätze durch Fahrrad-Abstellanlagen ersetzen	11416
__label__mpos	Eine temporär benutzbare Ladezone kann natürlich eingerichtet werden.	2247
__label__mpos	Fahrradweg ebener machen/neu asphaltieren.	11608
__label__non-arg	Fahrradweg	3553
__label__non-arg	Schutzstreifen zwischen parkenden Autos	368
__label__mpos	Keine alternierende Streckenführung des Radweges entlang der Siegbruger Str.	11361
__label__mpos	Auch sollte auf diesem Wegstück eine bessere Straßenbeleuchtung installiert werden.	2185
__label__premise	Vor allem aus Dransdorf kommend, mithin bergan, wird man hier auch gerne schnell noch mal sehr knapp überholt.	3114
__label__premise	Enge Strasse!!!	10726
__label__mpos	Umlaufsperre (Drängelgitter) anpassen	8809
__label__non-arg	Dort kaufe ich beim Edeka ein, arbeite bei der AWO oder besuche die Streuobstwiese in Eick.	16369
__label__mpos	Neben der Beratung der Mitarbeiterinnen und Mitarbeiter und Fördermaßnahmen geht es auch um die Fahrradinfrastruktur - hier sei insbesondere auf genügende Abstellmöglichkeiten für Fahrräder und Pedelecs hingewiesen.	554
__label__mpos	Weberstraße in Gegenrichtung feigegben.	2241
__label__premise	Ab und zu werden die ganz tiefen Löcher ja ausgebessert, aber länger als 1-2 Winter hält dies meist nicht.	5961
__label__premise	Es ist also noch viel zu tun, bis sich Alltag und Fahrradkonvoi im Fahrgefühl annähern.	6068
__label__premise	Der Radweg wird aus Richtung Hochkreuzallee kommend auf den Fußweg leitet und mit den Fußgängern zusammen durch die Bahnhaltestelle und dann weiter auf dem Fußweg bis Kreuzung Gotenstraße.	10099
__label__premise	Aktuell ist es sehr eng und wegen der vielen Einfahrten zu Parkhäusern auch oft gefährlich.	9955
__label__premise	Beim Linksabbiegen (zum Rheinauepark hin) traf ich unvorbereitet auf eine Bodenwelle, die durch die Licht-Schatten-Verhältnisse bei tiefstehender Sonne (19:00 Uhr) nicht zu erkennen war.	602
__label__non-arg	Querung der Niederkasseler Strasse mit dem Fahrrad	9897
__label__premise	Auf dieser Seite existierten noch nie Rad-Abstellmöglichkeiten, weil sehr wenig Platz vorhanden ist.	8937
__label__premise	Zudem sollte man noch einen Blick auf die auch hier spielenden Kinder haben.	17211
__label__premise	Warum ist die Strecke nicht beleuchtet?	17252
__label__premise	Die entgegenkommenden Linksabbieger haben allerdings ein Schild Abknickende Vorfahrt und befinden sich auch exakt auf der abbiegenden Hauptstraße, wähnen sich also ebenfalls in der Vorfahrt.	822
__label__non-arg	Wirtschaftsverkehr nur auf der Staße ?	15183
__label__non-arg	Berg- und Talfahrt	16101
__label__non-arg	Fahrradparkhaus am Bf. Ehrenfeld	13508
__label__mpos	Um diese Stelle für Radfahrer sicherer zu machen wäre a) ein brutales Ausbremsen der Autos die von der Autobahn kommen notwendig, gerne mit einer Ampel auch für die Rechtsabbieger b) eine durchgehende Grünphase über alle 4 Autospuren für Radfahrer die stadteinwärts fahren... nicht mit Bettelampel sondern per Kontaktschleife in Höhe von Haus 127 (siehe Plan)... damit man ohne diese Krümmelstückchen-Fahrerei vorwärts kommt.	3824
__label__premise	Die Realität: Bis 2020 wird es nur eine Radstation mit nur 550 Plätzen geben.	7594
__label__mpos	Wenn man die Läden schließt und hälftig für Fußgänger und hälftig für Radfahrer freigibt, gäbe es endlich eine Möglichkeit von Weststadt/Endenich/Poppelsdorf etc. in die Stadt/an den Rhein/nach Beuel etc. zu fahren.	9662
__label__mpos	Ein anderer Vorschlag: Im gesamten Innerstädtischen Bereich sollten Radfahrer auf den Nebenstraßen immer ein Vorfahrtsrecht haben und es gilt hier die max. Geschwindigkeit von 30kmh.	3242
__label__premise	Unklare Beschilderung auf den Wegen im Park	17021
__label__premise	Fährt man mit dem Rad von Schwafheim Richtung Moers Innenstadt, benötigt man an der Kreuzung Düsseldorfer/Ruhrorter Strasse 2 Ampelphasen, um nach der großen Kreuzung bei [Möbelhaus] nicht als Geisterfahrer unterwegs zu sein; erst über die Ruhrorter Strasse, dann über die Düsseldorfer Strasse.	15966
__label__non-arg	Blinder Aktionismus	14671
__label__premise	Aktuell ist der Abstand der vorhandenen Absperrung so eng, dass man sein Fahrrad nicht ohne größere Verrenkungen durchschieben kann.	1217
__label__non-arg	Fahrradstraße	4206
__label__premise	Das bedeutet die doppelte Wegstrecke + eine zusätzliche Ampelphase, um auf der Bornheimer Str. auf die richtige Fahrseite zu kommen.	9261
__label__mpos	Fahrradfahrer brauchen eine komplette Spur auf der Subbelratherstr.	13150
__label__premise	Gleise vor radwegauffahrt	12559
__label__premise	Vorfahrt wird genommen	716
__label__premise	Fußgänger haben zu wenig Möglichkeiten die Venloer Str. zu queren.	11961
__label__premise	Diese Stelle ist sehr gefährlich, weil Fußgänger kreuzen und eine Verengung besteht.	1338
__label__non-arg	Hoffentlich fruchtet auch was...	12108
__label__premise	Ehrlich gesagt komme ich mir auch etwas dumm vor, wenn ich an dieser Stelle stehen bleibe.	3795
__label__mpos	Umbau der Venloer Straße zur Einbahnstraße stadtauswärts auf der einen Straßenseite und auf der anderen Seite abgetrennt eine Fahrradstraße für beide Richtungen und Umbau der Vogelsanger Straße zur Einbahnstraße in die andere Richtung.	13335
__label__non-arg	So geht es sicherlich noch mehr Radlerinnen und Radlern, die auf den beiden Bergen arbeiten oder wohnen.	5755
__label__premise	De Facto fahren viele Räder durch z.B. die Friedrichstr. oder auch vom Friedensplatz zum Monsterplatz.	3145
__label__mpos	Es sollte deshalb neben der sicherlich auch erforderlichen quantitativen Verbesserung (z.B. mehr Linien und Haltestellen, dichtere Taktung) vor allem auch eine qualitative Verbesserung des bestehenden ÖPNVs angestrebt werden.	15624
__label__premise	Konflikte sind an der Tagesordnung.	5709
__label__premise	Es sind etliche Radfahrer unterwegs, meist allerdings auf Kurzstrecken.	8470
__label__mpos	Absenken der Bordsteinkante	5891
__label__non-arg	Radweg L9 - Verkehrssicherheit	16318
__label__mpos	Sowie eine Geschwindigkeitsbegrenzung oder Fahrbahneinrichtungen,um zwangsweißes Abbremsen der Autos zu erzeugen	13498
__label__mpos	Hier bräuchte man eine klare Regelung, wonach Radfahrer nach links abbiegen und Im Sonnenpütz weiterfahren können.	9850
__label__premise	Radwege sollten nicht vom KFZ zugeparkt werden.	11335
__label__premise	Es ist voll von Löchern und Risse - in der Dunkelheit muss man - trotz eine gute Lampe - sehr vorsichtig fahren um nicht die Balance zu verlieren.	5722
__label__premise	Fehlender Übergang von Fahrbahn Haager Weg zum Abzweig Nachtigallenweg	5904
__label__non-arg	Straßenbelag	11792
__label__premise	Sehr schlechter Asphalt!	5959
__label__premise	Die Fahrradfahrer ärgern sich über die Personen an der Bushaltestelle die aus ihrer Sicht auf dem Fahrradweg stehen (was sie aber nicht tun).	3727
__label__premise	Fahrräder im Gegenverkehr	6133
__label__premise	Bie vielen Zeigenossen hat sich die Vorstellung vom Radweg so verfestigt, dass sie den Bürgersteig auch in Gegenrichtung benutzen.	17573
__label__premise	Ein schönes Beispiel für undurchdachte Beschilderungen: Nach Markierung der Fahrradstraßen war an dieser Stelle monatelang Durchfahrt verboten.	3714
__label__mpos __label__premise	Dann müssten Radfahrer nicht direkt neben dem deutlich schnelleren Autoverkehr fahren.	3493
__label__premise	Auf der Hochkreuzallee wurde 2017 ein neuer Radfahrstreifen markiert.	3921
__label__premise	es gibt sehr häufig die Möglichkeit seinen Wagen anderweitig abzustellen, um auszuladen.	715
__label__mpos	Härtere Bestrafung fürs Parken auf dem Radweg und Vorfahrt nehmen	10896
__label__mpos	Hier sollte umgehend eine Freigabe für Radfahrer erfolgen und eine andere Lösung erfolgen, die keinen so gravierenden und einseitigen Nachteil für die Radfahrer bedeutet.	8200
__label__premise	Wenn man vom Rhein-Radweg die Rheinaustraße z.B. in Höhe der Musikschule kreuzen will, hat man sehr schlechte Sicht auf die fahrenden Autos, da der Bereich zugeparkt ist.	6698
__label__premise	Warum ist die Fahrradstraße im Bereich Zingsheimstraße bis Heckelsbergplatz unterbrochen?	5793
__label__premise	Schlaglöcher	1031
__label__premise	Da wo eigentlich gar nicht erlaubt.	7881
__label__premise	Es fehlt dort absolut ein Rad-/Fußweg!!	16609
__label__premise	Super toll ist dann aber auch schon, dass der markierte Radweg von der Straße auf den Bürgersteig ständig zugeparkt ist.	7383
__label__mpos	Hier sollten die Fehlenden Schilder nachgerüstet werden oder die Überflüssigen Schilder abgebaut werden.	17023
__label__premise	Stellenweise sind die Radwege entlang des Rheins (insbesondere zwischen Kennedy-Brücke und Uni-Bibliothek) viel zu eng.	1286
__label__non-arg	Beleuchtung Radweg	10147
__label__mpos	Abschaffung des Haltegebots für Radler	16891
__label__mpos	Wir sollten die Autofahrer auf der Individual-Verkehr-Seite deutlich bedrängen, Ihnen auf der anderen, der ÖPNV-Seite, aber auch ein richtig gutes Angebot machen.	15636
__label__mpos	Aus Platzgründen eventuell nur auf einer Seite dann selbstverständlich etwas breiter.	13623
__label__non-arg	Vorrangregelung für die Fahrradstraße	3701
__label__premise	Die gegenwärtigen Pläne erfüllen dies aber nicht.	7630
__label__premise	Fahrradstreifen (bergauf) gefährlich	3884
__label__mpos	Besser gesicherte Radwege (Kennzeichnung, genügend Platz)	10941
__label__premise	Es kann nicht die einzige legitime Möglichkeit sein, sein Fahrrad zwischen den auf dem Seitenstreifen parkenden Autos auf die andere Straßenseite schieben zu müssen.	13356
__label__mpos	Fahrradständer beleuchten	11051
__label__mpos	Die Bürgersteige summiert ergäben dann noch eine weitere Spur für die Fußgänger.	12238
__label__non-arg	Nicht für Radfahrer: Der Kurzparker-Streifen	7447
__label__non-arg	Außerdem ist das Messdorfer Feld ein hässlicher öder Acker, den die Bauern bis an den Asphalt bis zum letzten Zentimeter auslutschen.	1809
__label__mpos	Vorschlagen würde ich, dass im Zuge der Sanierung der Brücke ein zusätzliches Deck unterhalb der jetzigen Brücke für Fußgänger und Radfahrer montiert wird.	1168
__label__premise	Falschparker führen zu Engstelle und Gefährdung durch Autoverkehr	2869
__label__premise	2. Fahrstreifen auf der Strasse ohne Verkehrschild sind keine Pflichtradwege.	9546
__label__mpos	Fahrradfreundliche Lösung an Baustellen: Notradwege + Ampelschaltung	11723
__label__premise	Dann das abstellen der Lieferanten (Post, DHL) auf den Radwegen.	16394
__label__premise	Wo darf ich fahren, wenn ich nach Süden will?	3307
__label__premise	Nach Überwindung des Höhenunterschiedes kam anschließend die Schiene und dann war es passiert.	9174
__label__premise	Die Überquerung an der Ampel ist in einen 2/3 Gehweg und 1/3 Radweg geteilt.	5281
__label__premise	Da der Radfahrer etwas eher Grün als der KFZ-Verkehr (Krefelder Straße aus der Stadt kommend in Richtung Kapellen) bekommt, biegen die Autos weiterhin ohne Gegenverkehr ab, prallen aber auf den Radfahrer, der nun regulär Grün bekommen hat.	16268
__label__mpos	So eine Neustrukturierung einer so bedeutenden Ringstraße sollte vielleicht zeitnah im Gesamten umgesetzt werden.	8062
__label__premise	Beim Bau des neuen Haltepunktes UN-Campus entsteht immerhin eine Unterführung mit Rampen.	73
__label__premise	Autofahrer ignorieren Verkehrsregeln	9004
__label__mpos	Fahrradfahrer sind Teil des Verkehrs und sollten gleichberechtigt zum PKW auf der Straße fahren.	407
__label__premise	Nicht nur, dass man als Radfahrer nicht die Straße zum Überqueren der Godesberger Allee benutzen darf und umständlich über den Bürgersteig geführt wird, es gibt auch keinen eingezeichneten Weg für Radfahrer auf dem Straßenbahnübergang.	9702
__label__non-arg	Es gibt kaum Möglichkeiten, sein Rad anzuschließen, siehe https://goo.gl/83hdc2	8106
__label__premise	Wenn man den KaiserKarl-Ring vom überquert in Richtung Innenstadt fährt man noch kurzfristig auf dem Rad-/Gehweg bevor man auf die Strasse wechseln muss.	8782
__label__premise	Vor allem lästig für Radfahrer ist die regelmäßige Gefährdung der Reifen durch Glassplitter, die entweder mitten auf der Straße von zerschmissenen Bierflaschen herrühren, oder eben vor den Glasmüllcontainern durch unvorsichtige Recycler verursacht werden.	7206
__label__premise	Man muss trotzdem jedes mal höllisch aufpassen!	7515
__label__premise	Viele fahren bei Doppelrot los, da dann ganz offensichtlich ist, dass nichts passieren kann (Schranken sind runter).	2672
__label__premise	Auf dem Stück zwischen Kennedyallee und Hindenburgallee verläuft der Radweg auf der Fahrbahn links neben Parkplätzen.	10368
__label__mpos	Abstellplätze in Kessenich	10877
__label__mpos	Ich würde mir eine Markierung auf der Straße wünschen, die deutlich macht, dass hier ein Radweg abzweigt.	48
__label__premise	An diesem Kreisverkehr ist man als Radfahrer gezwungen, teilweise fünf Ampeln (z.B. wegen Mittelinseln) zu überqueren, um den Kreisel zu passieren.	6099
__label__non-arg	Die Frage ist, ob man für bessere Fahrradinfrastruktur Geld ausgeben WILL.	5675
__label__premise	Der Radweg ist sehr schmal, die Fahrbahn ist brüchig und wird zusätzlich von den meisten Autofahrern ignoriert.	9491
__label__mpos __label__premise	Dazu wäre eine Entkoppelung vom Fahrzeugverkehr erforderlich, der den ÖPNV häufig behindert (Wer schon mal zur Rush-Hour mit der Strassenbahn den Ostwall entlang gezuckelt ist, weiss, von was die Rede ist).	15628
__label__mpos	So lange es keine bessere Lösung gibt, sollte der Bürgersteig auch für Radfahrer frei gegeben und das Parken von Autos auf dem Gehweg vor der Imbissstube an der Ecke sanktioniert werden.	17652
__label__mpos	Fahrrad- Überweg vom Parkplatz in die unterführung udn die auch markieren.	3711
__label__mpos	Dafür müsste die Bahnstrecke natürlich eine andere Fahrtaktung haben.	14041
__label__premise	Radfahrer die den Radweg in Gegenrichtung benutzen werden regelmäßig durch Kfz Fahrer übersehen.	16042
__label__mpos	1 PKW Parkplatz je Straßen-Abschnitt in Fahrradstellplätze umzuwandeln wäre mM nach angemessen.	12268
__label__premise	Wegen parkender Autos ist die verfügbare Straße meist so eng, dass man auf entgegenkommende Autos warten muss oder einander mit viel zu wenig Sicherheitsabstand begegnet.	5620
__label__premise	Der Kreisel liegt zuem in der Nähe von mehreren Schulen.	5488
__label__premise	Daduch reichen die Auros weit in die Fahrbahn hinein.	17843
__label__mpos	- Ziele operativ priorisieren sowie Berichtspflicht von Verwaltung und Rat zum Fortschreiten der avisierten Ziele implementieren.	14694
__label__premise	Wie oft stehen hier Straßenbahnen und Autos an Linksabbieger Ampeln, die völlig obsolet sind, weil eine Art Kreisverkehr vorhanden ist und der Verkehr gerade in ruhigen Verkehrszeiten (nachts, morgens und am Wochenende/Feiertagen) den Verkehr (Radfahrer, Autofahrer und Fußgänger) unnötig ausbremst.	13989
__label__premise	Gefährliche Haltestelle Ollenhauerstraße	9125
__label__premise	Nach der Unterführung müssten sie unbedingt am dortigen Radweg anhalten, auf dem sie dann links abbiegen.	8746
__label__premise	Die Situation im Kreuzungsbereich Venloer Str / Auf dem Paulsacker ist für alle Beteiligten untragbar.	12191
__label__premise	Gefährliche Schlaglöcher!	10183
__label__mpos	Bessere ampelschaltung	11855
__label__premise	Zu schmaler und schlechter Radweg	6973
__label__non-arg	Über die Ampel und dann?	153
__label__premise	Chaotische Radwegführung	6764
__label__premise	Hindernisse in der Mitte der Fahrradstraßen	9368
__label__mpos	Von der Zweiten Fährgasse kommend bergabwärts Richtung Rheinufer müsste die Fahrbahn (mit Radweg) dringend erneuert werden.	7505
__label__premise	Es fehlt eine sinnvolle Verkehrsführung für Radfahrer von der Zanderstraße weiter Richtung Süden, obwohl sich die Max-Planck-Str. und die Paracelsusstr. dafür gut eignen würden.	6315
__label__premise	An dieser Stelle ist der Rad und Fußweg für beide Richtungen vorgesehen.	4320
__label__premise	Die Steckreiter werden immer wieder herausgerissen.	16172
__label__non-arg	Einige Vorschläge betreffen den Ausbau der Straßenbahn als Rückrat des ÖPNV´s.	15638
__label__premise	Spät abends oder Nachts ist der Weg kaum erkennbar und Stoplerfallen wie Steine, Wurzeln oder Pfähle sind in der Regel erst zu erkennen, wenn man darüber oder dagegen fährt.	2709
__label__mpos	Eine Sanierung steht dringend an!	2053
__label__premise	Radweg in schlechtem Zustand.	8134
__label__premise	Die Autos fahren hier sehr schnell und parkende Autos zwingen einen des öfteren auf die Straße auszuweichen.	17558
__label__mpos	Drängelgitter so umbauen, dass auch Radfahrer eine Chance haben.	5791
__label__mpos	Falls nein, sollte mit dem Eigentümer über eine Nutzungsmöglichkeit verhandelt werden.	16025
__label__premise	Ich komme z.B. mit dem Rad vom Königlichen Hof und habe Richtung [Buchhandlung] grün, die andere Seite hat aber schon rot.	16852
__label__mpos	Ebenso für Radler*innen.	13738
__label__mpos	Alternativ Straße zum Radfahren freigeben!	10566
__label__mpos	All diese Dinge spielen hier eine entscheidende Rolle und müssen verbessert und attraktiver gemacht werden.	14558
__label__premise	Für 5,36€ kann ich aber auch im BehnischHaus zum TopTarif schon fast 3 Stunden parken.	14540
__label__mpos	deutlich gekennzeichnete Fahrradwege	11920
__label__mpos	Ohne eine einzige physikalische Einengung kann somit die Durchschnittsgeschwindigkeit spürbar gesenkt werden.	6859
__label__premise	Überflüssiges, gefährliches Rot	6375
__label__mpos	Außerdem könnte der Übergang zum Bröhltalbahnweg verbessert werden.	1658
__label__mpos	Hierfür einzuführen wäre eine neue RRX Linie 8, welche im Vorlaufbetrieb unter REXX von Aachen bis mindestens Dortmund, wenn nicht sogar Hamm verkehrt.	15517
__label__mpos	Eine 30 Zone, Zebrastreifen aber auch gelegentliche Kontrollen würden hier sicherlich Abhilfe schaffen.	13526
__label__non-arg	Was sollen Fahrradstraßen eigentlich bringen?	109
__label__premise	In den Herbst- und Wintertagen ist die Rheinaue, die sich grundsätzlich sehr gut zum Radfahren eignet, nur sehr unzulänglich ausgeleuchtet.	2264
__label__premise	Mittlerweile ist der Radweg ja gar kein Radweg mehr, sondern ein Gehweg, den auch Radfahrer benutzen dürfen (Radfahrer frei).	7263
__label__non-arg	Gibt es da keine bessere Lösung?	6521
__label__premise	Auch in anderen Situationen wurde ich schon von Busfahrern abgedrängt oder sehr knapp überholt (z.B. Endenicher Straße).	7425
__label__non-arg	Ich bin zufrieden	10878
__label__premise	Ich überquerte also die Straße, da ja gegen das Linksfahren in Moers gerade auch eine Initiative lief.	16236
__label__premise	Dumm nur, dass Touristen (Hotelschiffe, KHD & Normaltouristen) & Autos & tausende Radfahrer sich alle am Vogtsgasse&Brassertufer drängeln.	8438
__label__premise	Bereits 2014 (!) beschloss die Bezirksvertretung Beuel die fahrradfreundliche Umgestaltung der Königswinterer Straße auf den circa ein Kilometer zwischen Auf dem Grendt (Beuel) und Mehlemstraße (Ende Ramersdorf).	7892
__label__premise	gefährlicher benutzungspflichtiger Radweg	16283
__label__premise	Die Eigentümer werden aufgefordert ihre Fassaden und Eingänge zu sanieren, von welchen man sowieso nichts sieht, weil sämtlicher Strassenraum zugeparkt ist, die Eingänge sind versperrt, die Wohnungen verschattet, weil grosse Transporter wochenlang Parkplätze 1 Meter direkt neben den Räumlichkeiten liegend verschatten.	14050
__label__non-arg	[Name entfernt]	15935
__label__premise	Hier befinden sich Schlaglöcher in der Fahrbahn.	1541
__label__mpos	Es wäre somit konfliktfrei möglich, vom Radweg aus nach links in die Villemombler zu fahren.	3856
__label__premise	Hier kommen einem leider öfters illegal Radfahrer richtung Innenstadt entgegen anstatt einfach die Endenicher Straße weiter zu fahren.	4347
__label__premise	Gerade für Pendler aus weiter entfernten Vororten sind diese Fahrzeuge interessant.	4900
__label__mpos	Neue Regelung müßte sein, pro 10 Pkw-Abstellplätze eine Abstellanlage für Räder!	171
__label__mpos	Einbahnstraße durchgehend freigeben	7693
__label__premise	Die derzeitige Situation ist für alle Beteiligten nicht zufriedenstellend.	6313
__label__mpos	Alternativ könnte ein zentraler Rad-Abstellplatz in Nähe des Übergangs auf der Südseite eingerichtet werden, z.B unmittelbar gegenüber meinem ersten Vorschlag, siehe https://goo.gl/x7CzmV (hinter Telefonzelle).	8940
__label__premise	Schlechte Alternative 1: Geradeausfahrt auf der Fahrbahn des Sträßchenswegs (der geradeaus verlaufende Radweg ist nicht benutzungspflichtig).	6055
__label__premise	Ampelanlage reagiert nicht auf Fahrräder	1099
__label__premise	Der ganze Radweg entlang der L 261 (Reichsstraße) ist geprägt von Wurzeln.	6448
__label__mpos	Öffnung der Einbahnstraße für den Radverkehr in Gegenrichtung	12211
__label__premise	Fahrradwegen kann nur die mindeste Breite zugesprochen werden, was wiederum den Fahrradfahrer nervt.	6529
__label__premise	Mit diesem Schlenker ist niemandem geholfen.	2911
__label__mpos	Es wäre besser, wenn diese Automaten (schlechte Funkionalität, sehr teuer) aus dem Verkehr gezogen würden.	17504
__label__premise	Auf beiden Seiten wird auch tagsüber immer wieder mitten auf dem Radweg geparkt, vom Ordnungsamt weit und breit keine Spur.	12410
__label__non-arg	Zumindest theoretisch.	6289
__label__premise	Da auch der Bus durch diese enge Straße fährt, ist es wirklich eine Gefährdung, dass diese Stellen häufig zugeparkt sind und man sich als Radfahrer durch die parkenden Autos auf die Straße friemeln muss.	8630
__label__premise	Auf dem Stück vor dem Neubaugebiet stehen immer wieder Autos auf dem Radweg.	13275
__label__premise	Der 22. September ist der offizielle „Zu Fuß zur Schule“-Tag!	14904
__label__non-arg	Tolle Arbeit, lieber Planer bei der Stadt Bonn!	4103
__label__premise	Das ist unverantwortlicher Wahnsinn!	1831
__label__mpos	Dazu ein Hinweis auf den Radstreifen für die Radfahrer.	7801
__label__non-arg	Also Frage, war das vor kein Radweg ?	7865
__label__premise	Sichtbehinderung durch Werbefläche	935
__label__premise	Radweg auf der gesamten Kaiserstrasse ist sehr eng für zweispurig.	2665
__label__premise	Radwege werden im Winter nicht genug gestreut oder geräumt	11582
__label__mpos __label__premise	Bitte die Benutzungspflicht in Richtung SW (Wieseweg, Mensa) aufheben, da den Radfahrern hier eine Kette von Gefahren auferlegt wird: Holprige Auffahrt und Kanten an der Kreuzung Nußallee, Konflikt mit Fußgängern/Fahrgästen an der Bushaltestelle, durch Hecke am Ende in Richtung Einmündung Schubertstr. für Autofahrer versteckte Wegeführung mit plötzlicher Überleitung auf die Endernicher Allee bzw. den dortigen Kreuzungsbereich (nach Schaltkasten!).	5395
__label__premise	Es gibt an der Kölnstraße viele Läden und viele Autoparkplätze.	7119
__label__mpos __label__premise	Noch mehr solcher Radwege wie von schicksbaum Richtung gatherhof und mein Radler Herz wäre zufrieden	14734
__label__premise	Radweg neben der Bahnlinie in der Südstadt -> ist zu eng	11069
__label__premise	Die Straßenbreite reicht so gerade, aber wirklich auch nur so gerade, um an einem entgegenkommenden PKW vorbeizukommen.	4863
__label__mpos __label__premise	In Anbetracht dessen, dass die Stadt Krefeld möglichst schnell Maßnahmen durchsetzen muss, lohnt es sich, sich den Antrag zum Thema ,,Sperrung einzelner innerstädtischer Straßen" zu Herzen zu nehmen.	13873
