id;description;DBO
1111329755572113;"Was für eine Integration? Asyl ist ein "" ....... vorrübergehendes Obdach für Kriegsflüchtlinge und politisch Verfolgte"" . Vom bleiben ist nicht die Rede!! Und wenn in ihrer Heimat kein Krieg mehr ist, müssen Sie wohl wieder zurück. Diese Zeit werden Sie wohl mit dieser Lösung überleben. Und wer sich darüber beschwert was menschenwürdig ist, der soll mal so manchen Hartz4, oder Aufstocker fragen wie diese vom ""Amt"" behandelt werden. Darüber regen sich Viel zu wenige auf.";criticism
862372587134499;frau heil, das ist ja etwas niveaulos. wollen sie alles verbieten lassen was nicht in ihr ideologisches weltbild passt. demokratie fängt bei links an und hört bei rechts auf. ganz einfach.;nothing
1056530921051997;widerliches Fratzenvolk,einfach nur zum kotzen;nothing
1057058567665899;"Da wird einem richtig schwummrig bei diesen Zahlen. ;)";nothing
1063655067006249;Darum Anti Asyl;nothing
1152549161450172;Was sagt die zuständige Gewerkschaft dazu?;nothing
1063448793693543;Du darfst das sagen. Ungeziefer?;nothing
982645261773897;Und davon sind bereits zig tausende UNREGISTRIERT in unser Land gekommen!!!;nothing
1012893838749039;http://arab-islam-deutschland.blogspot.sg/2012/05/francois-maher-presley-autor.html?m=1;nothing
1007229862648770;Wladimir, du großer Bär! Komm endlich ganz raus aus deinem Versteck! Es warten soviele darauf!;nothing
1065859820119107;Er braucht uns ja nur zu erklären, warum fast nur wehrfähige Männer kommen und warum die hier bleiben sollen? Obwohl Asyl ja nur solange geht bis der Krieg zu Ende ist. Warum will man uns Umvolken?;criticism
1095901183781637;Kriminelle;nothing
855048151200276;den hat i fir gschaidor ongschaug..der isch pe mair untn durch;nothing
925648117473612;"Christoph.....Zitat:""Was wollt ihr eigentlich? Angeblich ist pegida nicht rechts, und doch hängt ihr wie besoffen der Hetze von FPÖ, DVU, AfD und NPD nach. Ihr habts damit nun mal vergeigt, beim allerallergrößten Teil der Deutschen. Die wollen sowas nämlich nich :D""           Damit hast du dir aber ein Eigentor in Sachen ""du hast Ahnung von PEGIDA "" geschossen. Du hast 0 Ahnung! Pegida distanziert sich von NPD,AfD, DVU eigentlich einfach ausgedrückt, von rechts. Wir sind nicht angeblich gegen rechts, wir sind gegen rechts, gegen Nazis und...gegen gewaltbereite Andersdenkende, seien es die Antifanten oder die radikalen unter den Gläubigen. Wir hängen niemanden nach und wollen auch nichts mit den Programmen der rechten Parteien zu tun haben. Aber wer nicht links von der CDU ist , ist eben rechts, nichtswissender, Medienanhechelnder, unfähig zum selbstdenken-der Gutmensch. Und wer hier gewaltbereit und besoffen ist, kannst du dir hier in Dresden in der achso bunten Neustadt gerne mal anschauen. Und willst du noch was aufregendes erleben, ziehe dir mal ein T-Shirt mit Aufschrift PEGIDA an, das gleich machst du dann Montags mit Antifanten T-Shirts neben der Pegida Veranstaltung. Dann hast du den persönlichen Toleranz-Vergleich, wenn du von der Neustadt noch lebendig heraus kommst. Träume einfach weiter in deiner heilen Welt.";nothing
1064996736872082;"Gerry Zuhlig  Der Erste Weltkrieg 17 Millionen Tote (verursacht durch Nicht-Muslime)
2. Der Zweite Weltkrieg 50-55000000 tot (verursacht durch Nicht-Muslime)
3. Nagasaki Atombomben 200.000 Tote (verursacht durch Nicht-Muslime)
4. Der Krieg in Vietnam mehr als 5 Millionen Tote (verursacht durch Nicht-Muslime)
5. Der Krieg in Bosnien / Kosovo mehr als 500.000 Toten (verursacht Nicht-Muslime)
6. Krieg im Irak (bisher) 1.200.000 Todesfälle (verursacht Nicht-Muslime)
7. Afghanistan, Burma usw. (verursacht durch Nicht-Muslime)
Du denkst immer noch, dass der Islam ist das Problem ?!
Und wenn zu ihnen gesagt wird: ""verursachen keine Korruption auf der Erde"", sagen sie: ""Wir sind Friedensmacher, aber Reformer."" [02.11]";nothing
1035439783161111;"Efe Zehir!
Was soll dein Kommentar? 
Erklär das mal bitte etwas genauer!";nothing
877380515633706;Bei Fachkräfte ist mein erster Gedanke immer der eines Diplomingenieurs  oder IT- Spezialist.Davon denke gibst in Deutschland genug. Das in Pflegeberufen  vermehrt Ausländer eingesetzt werden, weiß ich auch.;nothing
945848752120215;???;nothing
1384007536492179456;"Was ein ""lustiger"" Zufall das ausgerechnet unser Wirtschaftsminister ne' hässliche Fischfratze (boha tut ja weh den anzugucken) ist. Jetzt fängt er auch schon langsam an rumzuschwurbeln um Betriebe nicht in die Pflicht nehmen zu müssen. Eckelhaft! #AnneWill";agitation
876562245715533;Und wieso gibt's PEGIDA Spain ???;nothing
1395842946721665024;@Anna48338034 @Steinhoefel Aber du hast Ahnung, stimmt’s? Wahrscheinlich auch so ein verhülltes und verirrtes Terrorliebchen, das dann weint wenn das Märchen schief geht und der böse Wolf kommt! Mann , Mann, da könnt ich 🤮;nothing
1088473577857731;http://www.focus.de/regional/brandenburg/kriminalitaet-massenschlaegerei-in-asylunterkunft_id_5388716.html;nothing
1056920097679746;Ein Witz , die verarschen uns doch nur;nothing
1064100146961741;Tobi Tobi Tobi Spitzenreiter mal wieder ?? was für eine Überraschung;nothing
855201167851641;Die große Überraschung: statt im Kreis latschen, dieses Mal im Dreieck hopsen.;nothing
1387068120263757824;@ct_troublerin @tagesschau Stimmt...was ist wohl der Grund, durch sichere Länder zu fliehen um in Deutschland Asyl zu beantragen...?;nothing
960861953952228;ich kann das langsam nicht mehr einordnen...ist es nur zur Beruhigung des Volkes immer mal wider ein bisschen durchblicken zu lassen, ja ihr habt ja recht ... ich glaube denen kein Wort !!! Ungarn und die anderen Länder haben gehandelt ... und sind sehr deutlich, was diese Frage anbelangt...;criticism
1384104859616481280;@MitschAlexander Yeah nazis und alte weiße Männer springen im Dreieck. Meine Stimme hat sie.;nothing
945876995450724;und wenn wir die Wirtschaftsflüchtlinge nicht mit durchfüttern und unsere ReGIERung nicht ständig ihre Bezüge und Diäten erhöhen würde, ja dann wäre Deutschland ein Steuerparadies !;criticism
935256856512738;Pegida hat Die provoziert und LÜGEN noch gar nicht gelesen. Oder aus dem Zusammenhang gerissen. Und absichtlich falsch interpretiert.;nothing
855213937850364;Ralf,stimmt...die DDR war aber auch finanziell  am Ende.;nothing
935260893179001;Ich selber bin ja schon 1,95m. Aber hinter sojemanden verstecken? Lieber die Straßenseite wechseln. Sicher ist sicher. :-D;nothing
967242279980862;"Bin auch nen Sachse. Zumindest steht Karl Marx Stadt noch im perso. Unterstützung kommt aber jetzt aus Hannover.

Gruß aus 
Hartmannsdorf";nothing
991236187581471;Wieviel Leute nehmen teil?;nothing
1092184710819951;Guter mann;nothing
1057035171001572;Die gleiche Anzahl kommt in 1 Stunde herein. ??????;nothing
855014251203666;Wir werden dann wohl auch sehen wie viele bezahlte Demonstranten die Gegenseite  auffährt  . Wie ich gelesen haben war der Stundenlohn bei 10€ ob sie diesmal noch mehr zahlen und das von unseren Steuergelder . Ihr solltet vielleicht auch filmen und Plakate hoch halten wir werden nicht bezahl dafür das wir demonstrieren Wir zahlen noch für die Gegendemo mit unseren Steuergelder;agitation
982698075101949;Keine sorge. Das ist ein Einzelfall. Wenn wir alle reinlassen wird alles wieder gut;nothing
1389108278530125824;@maischberger @ABaerbock @nenacasc @BILD @DasErste Wir befinden uns in der Umsetzung des Great Reset. Corona ist bzw. war der Türöffner. Manche Länder wehren sich. Armes D. Baerbock ist nur eine Marionette und wird von merkel installiert. Die kann dumm wie Brot sein. Umso dümmer umso besser. (nein nicht Afdler sondern alt links);agitation
1066040990100990;"Warum überrascht es mich nicht, dass Pegida gegen politische Bildung an Schulen ist? 
Ein Schelm weder böses dabei denkt ;)";nothing
982649521773471;"Mein Gott, wie soll das Deutschland verkraften? Unsere Regierung hat versagt! Was wird aus unserem Volk? Wir werden die Kosten für diese Asylpolitik zahlen und am Ende kann es noch zum Bürgerkrieg in Deutschland kommen. Wir werden einfach von den wehrfähigen jungen Männern (von dieser außer Kontrolle geradenen ""Meute"") überrannt! Wir haben sehr große Angst vor dieser Gefahr!";criticism
1056908697680886;"es soll wohl eher heißen ""zur Beruhigung der Massen""gab es paar wenige Abschiebungen und nicht Massenabschiebung";criticism
1095898467115242;Hebben ze daar geen tanks ??;nothing
977039172334506;"diese Nachricht steht bei Fotos bitte: 

6 válasz
.

Irreligious Libyans ?????? ?? ??????,?????? ?? ?????? - ?????? ?????????? One day these muslims will force the europeans out of their country where they will only give them the 3 following choices:
- Either turn muslim 
- Pay a ransom(jizya)...B?vebben
Egy nap ezek a muzulmánok kényszeríti az európaiak a ország, ahol csak adj nekik a 3 következ? választások:
- vagy fordulj muszlim
- váltságdíjat fizetni (jizya)
- a halál

Automatikus fordítás

Tetszik · Válasz · 2 órája";nothing
1065825506789205;Das kann ich so nicht bestätigen. Hier sind viele Rentner in der Altersgruppe, die auf den Barrikaden sind!;nothing
935269389844818;In den finstersten Keller mit dem Kunden!;nothing
876353675736390;Hoffentlich!;nothing
961151573923266;Solche dummen faulen Subjekte wie links sind mir scheissegal;nothing
1434;⚡️⚡️ \o sieg heil mein Genosse.;nothing
993581484013608;Schön, wenn es mal so viele bei den Pediga-Demos würden...;nothing
1105451149493307;Pfui teufel,wer so was genehmigt!!!!;criticism
1095906020447820;Und warum lässt man sich sowas bieten und räumt die Straße nicht unverzüglich ? Diese Menschen werden ihre Forderermentalität nie ablegen , funktioniert doch. Und in D angekommen geht es dann genauso weiter , wenn man nicht bekommt was man will ! Das brauchen wir ganz doll ...;criticism
882729555098802;Natürlich kommt das gleich wieder, dass es deutsche, rechtsradikale waren. Ist doch nichts neues, dass genau das immer gleich behauptet wird.  Lächerlich und damit für uns lustig wenn es dann doch nicht so ist und die Idioten kleinlaut zugeben müssen, upps, dass waren die ja untereinander. Der eine hat den anderen wegen Drogen oder Geld beschissen.. Da musste er leider gekillt werden.;nothing
861950493843375;Soll der Hohlkörper doch die Verblödung schauen, so was ist eh keine Hilfe !;nothing
1057127547659001;Aber das Pack sind doch wir Deutsche ?  :);nothing
982660608439029;"Nostradamos hat bereits vorher gesagt, dass der 3 Weltkrieg ein Glaubenskrieg wird.  
Wir haben sie bereits im Land. ..die Ausschreitungen in Ungarn, sind erst der Anfang";nothing
1057748250930264;Viel zu wenig, Alle raus, außer Frauen, Kinder und alte Menschen die sich unserer Kultur anpassen.;criticism
876357029069388;"SONST ist doch immer ""Putin schuld""!  ;)";nothing
982682915103465;Juergen Weidner es gibt keine Völker, nur Menschen;nothing
977024745669282;In Africa and Middle East we have demographic explosions..50 years ago Algeria was with 8 mln population, now -34 mln...with average age-15 years.. there is no govermnent, even dictatorship that can build schools, infrastructure and create so many jobs for them.. Europe is doomed if not build walls and close all borders..;agitation
882696211768803;Eine Fachkraft für professionelle Eigentumsübertragung weniger....super;nothing
982801071758316;"Ich hab mir das Heut auch im Fernseh angeschaut und hab gedacht ich spinne!! Die Medien reden dieses Verhalten immer noch schön, es waren ja live Bilder und ich schwöre Euch ich sah weder wirklich Frauen noch Kinder nur Männer die dreckig in die Kammera grinsen und gewaltätig sind!! Ich hab immer gesagt Menschen die wirklich in Not sind sollte man Helfen aber das ist kein Spass mehr!! Langsam sollten sogar die letzten Gutmenschen merken das was uns ""Mutti"" ins Land geholt hat zu 80% nichts mit Kriegsflüchtlingen und traumatisierten Familien zu tun hat!!! Wer mir das jetzt noch erzählen will leidet unter Realitätsverlust!!! Merkel und der Rest dieser Verbrecher macht Deutschland kaputt!!";criticism
1394341202879725568;@ZDFheute Was tun gegen Antisemitismus? Ganz einfach! Die arabischen Antisemititen und Demokratiefeinde konsequent abschieben.;agitation
1610;Dieses Dreckige Schwein bekommt hier Bewährung! Teilt diese Fresse!!! Danke Deutschland. Der Richter: NAME! Dreckschwein!;nothing
862006803837744;am besten wieder rassegesetze einführen, oder henry?;nothing
935708863134204;schlaf weiter !;nothing
945838798787877;Dann soll man mich als Nazi bezeichnen, ich weiß wer ich bin und nur das zählt.  Ich bin Deutsch, ein Patriot der zu seinem Land und seiner Kultur steht.;nothing
982725658432524;"Lisa Sander und Anke Schneider eine Menge Freude wünsche Ich Euch Damen wenn dieser oder ein anderer gewalterbereiter Mob dieser alternativlosen Ergänzungsrecource unserer demografisch exorbitant schwindenden Bevölkerung vor Euch steht und Ihr diese unzivilisierte Bande mit Eurer unendlichen Menschenliebe beschwichtigen müsst!
Ihr vertraue auf Euch!";nothing
1111337028904719;NEIN,SIE MUSSEN EUROPA ISLAMISIEREN.DESWEGEN ,ABER DIE SAUDIS STECHEN DAHINTER.DIESE SEHR REICHE AFFEN BEZAHLEN ALLES BIS DIE MUSLIME IN EUROPA ANKOMMEN.;criticism
962207963817627;Wenn dann freie fahrt für alle !!!;nothing
1064440160261073;Na ja, die Uni Leipzig hat halt alle Wessie-Versager, die keine Studienzulassung an anderen Unis bekamen, in den 90-ern aufgenommen. Jetzt ham wir den Salat.;nothing
876251955746562;Fachkräfte???die Hälfte kann nicht mal lesen und schreiben...Gesocks wo sich hier auf die faule Haut legen und durch füttern lassen...;nothing
1096101507094938;Die sehn ja sowas von kriegstraumatisiert aus das einen das k...kommt !!!!;nothing
861942200510871;Montags laufen die Simpson da hat niemand Zeit für eure drecks Märsche;nothing
855020807869677;Ja, einfach Klasse! Von 10 möglichen Punkten, gebe ich 12!;nothing
1286;hdf du scheiß nazi hure red ned mit mir;nothing
989304257774664;"wow. auf Roberts kommentar haben 6 Mallorca Urlauber geantwortet. Vergesst die ""Bild"" nicht in eurem Hotel zu kaufen und euch mittags ne Bratwurst zu bestellen.";nothing
1056952767676479;Was für Massen ??;criticism
935271679844589;Nichts hat mit den Islam zu tun , was ist dann eigentlich Islam?;nothing
1389571524236021760;@ySweazer Halt die Luft an kleiner Knirps komm wir klären das vernünftig   Ich will dich so behindert Boxen;nothing
1134707703234318;Die Zahlen und mehr Fälle zeigen, dass es nicht nur um Flüchtlinge, sondern eine verschleierte Invasion in Europa. Und wirtschaftliche Motive auch eine attraktive Rolle spielen.;nothing
993526877352402;Siegfried Meyer .  Ich stimme zu. Gemeinsam gegen TTIP! Der Feind meines Feindes ist mein Freund! Jedenfalls temporär!;nothing
1111994625505626;Harald Bode Se;nothing
876329262405498;Pegida richtet sich doch nicht gegen Ausländer, sondern gegen die Islamisierung, das ist ein großer Unterschied.;nothing
882917765079981;Genau, es war Putin dieser Nazi.;nothing
1063416980363391;Herr Maas befürchtet den ersten Toten.  Da hat er ihn. Wenns der erste ist.;nothing
1057009574337465;Lächerlich in Güterzüge passen viel mehr rein uns wer Deutschland nicht verlassen will bei der alten hexe im Kanzleramt ist noch platz;criticism
935378459833911;"Das ""Umdenken"" wird passieren!";nothing
1010825948955828;https://youtu.be/kpQXdq1W5aU;nothing
1112174678820954;What is the song?;nothing
874587235913034;das ist ein mann;nothing
861998480505243;R2D2 wäre wesentlich glaubwürdiger als du es bist.... So und nun geh deinen Namen tanzen!;nothing
1096383437066745;Kevin Pekel Oliver Fuchs drüber fahren und gut ist !!!;nothing
855044694533955;"""Mönner baggern wie blööde""";nothing
1134227716615650;Krankenhaus Kuh;nothing
1152513361453752;Macht Eure Klospülen leer. Kackt auf Silberpapier und schmeisst die Scheisse gegen die. Ganz einfach. Von Eurem Gequatsche wird nix!;nothing
1056542611050828;nee ich kann diese truppe nicht mehr sehen, noch hören und schon gar net wählen...mir wird schlecht...bei dem bild, und es gibt noch vile mehr...;criticism
1154;Blut und Ehre für Deutschland! Wir müssen unsere Ehre wieder zurückerobern!;agitation
1106052459433176;Grunz............................Schweinegülle drauf kippen!;nothing
982715198433570;große Klappe, nix dahinter;nothing
935263149845442;Und dann kommt noch hinzu traue keiner studie die du nicht selbst gefälscht hast.deswegen wirds das nie geben;nothing
882922171746207;an das Schlafschaf Sonja Große werde MUNTER Du Opfer !;nothing
862027770502314;Stimmt... wir brauchen die keulen mit der Aufschrift: Dummheit;nothing
1667;Schickt sie alle in ein Arbeitslager. Denn das ist nur der Abschaum von Deutschland. Die gehen keiner geregelten Arbeit nach die suchen nur STreit in Notfal erschießen.;nothing
1095902433781512;Einfach nur Pack;nothing
991240744247682;Den stream könnt ihr vergessen, bricht immer zusammen, kein Ton obwohl es angefangen hat;nothing
989416164430140;https://m.facebook.com/profile.php?id=1571374403078705;nothing
982646205107136;Wird nicht mehr lange dauern. Durch Überforderung und Angst wird es sehr bald zu Schüssen kommen.;nothing
1007164985988591;Kein Kommentar...;nothing
1013049922066764;Dranbleiben !! Nicht unterkriegen lassen !;nothing
1055323881172701;Man muss zwischen gute und schlechte Flüchtlige unterscheiden. Ich bin beispielsweise ein netter Flüchtlig aus dem Iran;nothing
1145;Rotfront verrecken, wir sind die Freiheit und wir werden uns verteidigen!;agitation
982661401772283;ich würde gegen solche viel härter durchgreifen;nothing
887999881238436;"Unsere Politiker sind Knechte der USA...und genau genommen ist es bereits ""eins vor Zwölf""!!!";agitation
1055778737793882;????????????;nothing
882780685093689;Komisch,das solche Geschehnisse es immer nicht in die Tagesschau schaffen??! Naja,warum auch die deutschen Bürger beunruhigen,sind ja alles nur Einzelfälle. Aber wehe ein Deutscher ersticht einen Asylbewerber!!!!!!;nothing
882956041742820;Aber heeeyy...Bleibt mehr Geld für die anderen;nothing
882772295094528;"Ich plädiere für eine Neuauflage des Schröder'schen ""Aufstands der Anständigen"" mitsamt orchestrierter Hysterie und Solidaritätsmärschen und DEUTLICHER VERURTEILUNG (samt Konsequenzen und Ausweisung) des tatsächlichen Täters!";nothing
1345;Fällt dieser klapprige Zaun, stehen die aggressiven Invasoren innerhalb von 72 h auf deutschen Straßen, erhalten Aufenthaltsrecht, Wohnung und Geld und rufen Allahu Akbar. Baut den Zaun dreimal höher und stärker!“;nothing
1111353648903057;So Karten haben unsere Sozialhilfe Empfänger. Trotzdem noch viel Betrug;nothing
1196;Heil Hitler! Sieg Heil für Deutschland! Wir werden unsere Ehre wiederherstellen und unsere Rasse reinigen!;agitation
1063645913673831;Es geht aber doch gar nicht um alte und neue Bundesländer?!;nothing
1012430108795412;Wo satiere drauf steht ist satiere drin..koppauftischhau;nothing
1111818345523254;Was regen die Gutmenschen sich auf, der Plan der Weltregierung lautet doch sowieso Abschaffung des Bargeldes, dann sin die Fachkräfte und Bereicherer doch sehr fortschrittlich. ????????;nothing
1385100375171215360;Beim Impfen „ist echt nicht alles schiefgelaufen“, findet Merkel https://t.co/YTYrISLni9 Wenn Merkel so schnell IMPFSTOFF von Biontech bestellt hätte wie sie Sozialschmarotzer ins LAND holt würde in Deutschland alles wieder normal jetzt tun sie so als wenn wir Schuld hätten !;criticism
1010707728967650;Alles Gute ??;nothing
1012423085462781;"Hat ja funktioniert haben die intelligentsbolzen was zum äußern
Und beleidigen ich habe euch alle lieb einen bombenfreien oder Terror freien Sonntag wünsche ich allen menschen";nothing
1105733059465116;Victoria Tennes die Saudies!?;nothing
1043675355670887;"Ein unbekannter Mann hat bereits am Donnerstag, 14. Januar, eine 14-jährige Schülerin in Neustadt sexuell bedrängt…

Die 14-Jährige konnte sich losreißen und flüchten. Bei den Ermittlungen gab das Mädchen an, dass in der Vorwoche am Käthe-Kollwitz-Gymnasium zwei Zehntklässlerinnen ebenfalls von einem Unbekannten angesprochen und umarmt worden seien.

Der Polizei zufolge hat der Täter südländisches Aussehen, ist etwa 20 bis 30 Jahre alt, 1,60 bis 1,65 Meter groß und hat eine sportlich-kräftige Figur…

http://www.morgenweb.de/newsticker/neustadt-mann-bedrängt-14-jährige-1.2604072";nothing
982660835105673;??????;nothing
982640271774396;*dass;nothing
1398385374859251712;@Karl_Lauterbach @Alice_Weidel Oh... sehe gerade, dass mich die liebe Alice blockiert. Welch eine Ehre 🤣🤣😍;nothing
1010177182354038;"Jo!...erstmal die bescheuerten 
Koran-Verteilstände weg...Burka-Verbot sowieso...und Meldepflicht ist ein unwiderufliches MUSS; auch für uns!!";nothing
1152505418121213;Super Anna..... hahaha;nothing
855028194535605;ich denke ja! :);nothing
861971910507900;Herr Thomas Melcher war anscheinend bei beiden Kriegen dabei... ??;nothing
854997874538637;"Montag wieder gemeinsam! Ihr habt letztes mal gefehlt ;-)";nothing
882745638430527;Na so eine schnelle, eindeutige Wertung gefällt den linksfaschtischen Gutmenschen mit Sicherheit nicht !!;nothing
982651445106612;sieht aus, wie z.B. in Frankfurt und überall, wo Antifanten ihre Gewaltspuren ziehen..  hier wird klar, was für eine Spezies sich Einlass verschaffen will.. Ungarn macht alles richtig..unsere Regierung liefert ihr Volk ans Messer... was zutun ist, dürfte klar sein...;nothing
855154281189663;Pfuiii;nothing
960893963949027;Ich denke du solltest eher die Sonne meiden.;nothing
1038993862805703;Europe is for european people Not for musilm;nothing
1012257452146011;witzig;nothing
1092502540788168;Welche Frauen und Kinder? Hier sind nur Desateure und andere angekommen.;nothing
991240057581084;Kein ton schade;nothing
1063250517046704;Danke ! Der Nächste bitte !;nothing
1389220608630743040;@Joramsim @Gooney75 @Hasenhoernchen @moerv_vom_doerf @SerapGueler @AfD Was sollen wir denn mit den widerlichen Nazis zu tun haben? #PropagandaOpfer Die explodierende Islamisierung in Deutschland ist doch wohl unübersehbar.   Ein Großteil der Gewalt gegen Juden in Deutschland, erfolgt übrigens von Moslems, falls auch dies Ihnen unbekannt sein sollte.;agitation
1013072638731159;Ja man sieht ja die Entwicklung in Frankreich. Antisemitismus ist schon lange kein rechtes Problem mehr! Da stehen ganz andere in den Startlöchern! (*;nothing
1330;die moslems haben es nicht anderst verdient. diese kreaturen muessen vernichtet werden;nothing
1134119089959846;Meine liebe Frau Merkel wieviele Flüchtlinge kennen Sie denn persönlich? Haben Sie schon die Antänzer kennen gelernt?;criticism
888464771191947;Alwin, wir schreiben nur so schlecht deutsch, damit euer Selbstvertrauen etwas aufgebauscht wird. Hast ja sonst nix zu melden.;nothing
1066196066752149;Schwachöpfe;nothing
1509;Heil Hitler! Sieg Heil für Deutschland! Wir werden wieder mächtig sein!;nothing
1063740156997740;Sybille Gerber Danke.;nothing
1152541701450918;Das wäre ganz klar ein Verstoß gegen das Antidiskriminierungsgesetz und würde vermutlich so plump jedenfalls kaum durchsetzbar sein.;nothing
982726155099141;Was für traumatisierte Menschen. Warum befreien diese Menschen nicht ihr eigenes Land?;nothing
1134244493280639;Die dumme Nuss die dumme;nothing
862077520497339;Kannst ja auch in einem Flüchtlingsheim wohnen da ist es bestimmt sehr luxuriös;nothing
882698895101868;und das Smartphone nicht vergessen.;nothing
982648628440227;Serben siend orthodoxen  (cristen)......in Bosnien Herzegowina sind eine Mehrheit Moslems;nothing
1012034585501631;Heinz Reinhardt Nur ein idiot merkt es nicht das die nicht Deutsche im lande sich gut eingenestet haben und es past ihnen garnicht das Der Deutsche (Nazi) meckert;nothing
1012384202133336;Wenn sie denn schreiben können.;nothing
876916642346760;"Ob es regnet, ob es hagelt,
Ob es schneit oder ob es blitzt
Ob es dämmert, ob es donnert,
Ob es friert oder ob du schwitzt,
Ob es schön ist, ob’s bewölkt ist,
Ob es taut oder ob es gießt,
Ob es nieselt, ob es rieselt,
Ob du hustest, ob du niest:
An allem ist PEGIDA schuld!
PEGIDA ist  an allem schuld!
Wieso, warum sind sie dran schuld?
Kind, das verstehst du nicht, sie sind dran schuld!
Und sie mich auch! Sie sind dran schuld!
PEGIDA ist, sie ist und ist dran schuld!
Und glaubst du’s nicht, sind sie dran schuld,
An allem, allem ist PEGIDA schuld!
Ach so!
Ob das Telefon besetzt ist,
Ob die Badewanne leckt,
Ob dein Einkommen falsch geschätzt ist,
Ob die Wurst nach Seife schmeckt,
Ob am Sonntag nicht gebacken,
Ob der Prinz of Wales schwul,
Ob bei Nacht die Möbel knacken,
Ob dein Hund ‘n harten Stuhl:
Ob der Dietrich dich versteuert,
Ob die Dietrich Kopf bis Fuß,
Ob Okasa sich verteuert,
Ob ‘ne Jungfrau sagt: „Ich tu’s“,
Ob es kriselt bei der Danat,
Ob ein Witz im Radio alt,
Ob die Garbo ‘n hohlen Zahn hat,
Ob der Kuß im Tonfilm knallt:
An allem ist PEGIDA schuld!…
Daß der Schnee so furchtbar weiß ist
Und dazu, was sagt man, kalt,
Daß dagegen Feuer heiß ist
Und daß Bäume stehn im Wald,
Daß ‘ne Rose keine Zwiebel
Und daß Schabefleisch geschabt
Daß der Heine gar nicht übel
Und der Einstein ganz begabt:
An allem ,allem ist PEGIDA schuld!";nothing
1096663233705432;z u r ü c k !!!;nothing
1035102659861490;Danke Dresden aus Köln;nothing
1056510251054064;Abfahrt! !!;nothing
882680641770360;"Was nehr sorgen machen sollte ist volgende citaat:  ""Am 14. Februar 2014 war dort ein libyscher Flüchtling gestorben. Er litt an einer Infektion, die trotz zweier Klinikaufenthalte unerkannt geblieben war. Am Ende kostete ihn eine Lungenembolie das Leben."" welcher infection? Was schleppen die noch mehr ins land auser streit und angst??";nothing
862031590501932;Wie kommen sie darauf;nothing
1035621543142935;Weiter so mal sehen vieleicht wachen jetzt auch die Wessis mal auf!!!;nothing
1096374720400950;Ich stelle mir gerade vor wie beschissen es ist das Du in meinem Land bist.....;nothing
1057128157658940;Wir Deutschen !  :);nothing
1063300180375071;Dresden Drecksvolk Heute schon gepampert worden von Mutti? Oder warum bist du so unruhig? Mir kannste es doch sagen! Unter uns.;nothing
982767298428360;http://www.welt.de/politik/ausland/article121214810/Bulgarien-baut-eine-Mauer-an-der-Grenze-zur-Tuerkei.html;nothing
876630312375393;Fock Islam;nothing
1111305505574538;der erste richtige schritt;nothing
882752691763155;"Es gibt keine ""Flüchtlinge ""aus Marokko! In Marokko ist KEIN Krieg!!!! Das sind Wirtschaftsflüchtlinge";nothing
982762695095487;Danke Ungarn ??????;nothing
